ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000898.SZ,2022-06-23,3.2300,3.4500,0.0638
000899.SZ,1998-09-21,11.0700,17.9100,0.3819
000899.SZ,2000-06-23,12.2800,12.7800,0.0391
000899.SZ,2000-09-11,12.0000,12.5300,0.0423
000899.SZ,2002-05-22,6.5800,6.6800,0.0150
000899.SZ,2003-06-12,6.2000,6.3000,0.0159
000899.SZ,2004-07-09,5.4000,5.5000,0.0182
000899.SZ,2006-07-18,3.7100,3.7600,0.0133
000899.SZ,2009-07-14,7.0700,7.1700,0.0139
000899.SZ,2010-05-19,5.6000,6.6300,0.1554
000899.SZ,2014-06-23,4.5500,4.6500,0.0215
000899.SZ,2016-06-07,8.5200,8.9200,0.0448
000899.SZ,2017-05-22,8.3600,8.6600,0.0346
000899.SZ,2019-05-16,5.1500,5.2700,0.0228
000899.SZ,2020-06-05,4.2100,4.3100,0.0232
000899.SZ,2021-06-15,5.1900,5.2900,0.0189
000899.SZ,2024-06-14,10.2900,10.4400,0.0144
000899.SZ,2025-06-16,8.8700,9.2000,0.0359
000900.SZ,1999-05-20,8.1900,12.2900,0.3336
000900.SZ,2000-08-28,12.0100,13.2100,0.0908
000900.SZ,2001-05-18,12.4500,12.6000,0.0119
000900.SZ,2002-04-26,9.6200,9.7800,0.0164
000900.SZ,2003-05-20,7.4200,7.5200,0.0133
000900.SZ,2004-06-16,7.0200,7.1200,0.0140
000900.SZ,2005-06-30,10.6300,11.0300,0.0363
000900.SZ,2006-06-28,11.7200,12.4800,0.0609
000900.SZ,2007-07-05,16.9500,17.3300,0.0219
000900.SZ,2008-05-28,22.5100,23.3100,0.0343
000900.SZ,2009-06-25,19.0500,19.8300,0.0393
000900.SZ,2010-06-10,18.6700,19.0500,0.0199
000900.SZ,2011-06-23,15.6600,15.8600,0.0126
000900.SZ,2012-07-06,9.2700,13.9100,0.3336
000900.SZ,2012-12-13,8.3000,8.6000,0.0349
000900.SZ,2013-07-11,6.0800,8.0600,0.2457
000900.SZ,2014-06-12,4.7900,6.3300,0.2433
000900.SZ,2017-07-06,6.1300,9.2500,0.3373
000900.SZ,2018-06-13,4.4000,4.5000,0.0222
000900.SZ,2019-06-12,4.6600,4.8100,0.0312
000900.SZ,2020-07-09,3.9600,4.1200,0.0388
000900.SZ,2021-06-25,4.0700,4.2300,0.0378
000900.SZ,2022-06-23,4.1800,4.3400,0.0369
000900.SZ,2023-06-29,3.9800,4.0800,0.0245
000900.SZ,2024-06-13,3.6700,3.8200,0.0393
000900.SZ,2025-05-29,4.0200,4.1700,0.0360
000901.SZ,2000-06-13,21.4600,21.7100,0.0115
000901.SZ,2002-05-27,27.4800,44.0700,0.3764
000901.SZ,2003-06-09,15.2900,21.4000,0.2855
000901.SZ,2014-10-24,28.3700,34.7200,0.1829
000901.SZ,2018-06-05,12.1100,18.1600,0.3331
000901.SZ,2020-03-06,11.8300,12.8200,0.0772
000901.SZ,2020-07-02,9.2600,10.2200,0.0939
000902.SZ,2000-08-11,13.6400,13.8900,0.0180
000902.SZ,2008-06-06,4.8600,5.8300,0.1664
000902.SZ,2016-05-31,11.0800,22.4600,0.5067
000902.SZ,2017-05-24,8.4700,8.6200,0.0174
000902.SZ,2018-05-10,9.7000,9.9000,0.0202
000902.SZ,2019-05-22,10.4200,10.6200,0.0188
000902.SZ,2020-06-02,8.7600,8.9600,0.0223
000902.SZ,2021-05-11,16.0200,16.2100,0.0117
000902.SZ,2022-05-17,16.4900,16.6800,0.0114
000902.SZ,2023-05-23,10.6800,10.8700,0.0175
000902.SZ,2024-05-21,12.5200,12.8200,0.0234
000902.SZ,2025-05-20,13.3000,13.6000,0.0221
000903.SZ,1999-08-26,9.5600,9.7600,0.0205
000903.SZ,2001-05-18,14.7500,15.1000,0.0232
000903.SZ,2002-04-15,13.3700,13.7300,0.0262
000903.SZ,2002-08-28,12.1100,12.9400,0.0641
000903.SZ,2003-04-29,12.6100,12.9600,0.0270
000903.SZ,2004-04-23,9.7400,10.0900,0.0347
000903.SZ,2005-06-16,4.4700,4.7200,0.0530
000903.SZ,2006-04-12,4.1300,4.3800,0.0571
000903.SZ,2007-04-12,16.7300,25.3400,0.3398
000903.SZ,2008-04-23,10.1400,10.3900,0.0241
000903.SZ,2009-05-13,9.3300,9.4800,0.0158
000903.SZ,2010-04-23,14.7100,14.9600,0.0167
000903.SZ,2011-05-19,8.2500,15.0500,0.4518
000903.SZ,2012-06-12,4.5900,4.6400,0.0108
000903.SZ,2014-07-07,4.7200,4.7900,0.0146
000903.SZ,2016-05-20,6.4400,6.5100,0.0108
000903.SZ,2017-06-12,4.3600,8.8000,0.5045
000903.SZ,2018-07-09,2.4700,2.5100,0.0159
000903.SZ,2019-06-20,2.7800,2.8200,0.0142
000905.SZ,2000-06-06,13.4700,13.9700,0.0358
000905.SZ,2003-06-06,8.6300,9.1300,0.0548
000905.SZ,2005-07-15,7.0200,7.1700,0.0209
000905.SZ,2006-06-22,8.8500,9.0000,0.0167
000905.SZ,2006-10-17,6.5800,11.8400,0.4443
000905.SZ,2007-07-10,7.7300,7.8300,0.0128
000905.SZ,2009-07-07,9.8400,9.9400,0.0101
000905.SZ,2024-06-17,5.8600,5.9600,0.0168
