ts_code,trade_date,jump_pct,factor_change_pct,type
002005.SZ,2008-04-21,0.4996,0.9984024380042613,因子数值不匹配
002005.SZ,2012-05-24,0.5029,1.0115070453978383,因子数值不匹配
002006.SZ,2006-06-22,0.1778,0.21621577249167284,因子数值不匹配
002006.SZ,2008-05-15,0.3335,0.5003700339224232,因子数值不匹配
002006.SZ,2011-09-13,0.5,1.0,因子数值不匹配
002006.SZ,2012-05-16,0.3365,0.5071284087384795,因子数值不匹配
002007.SZ,2005-05-23,0.3518,0.5427949999999999,因子数值不匹配
002007.SZ,2006-10-20,0.3332,0.4997072617921357,因子数值不匹配
002007.SZ,2007-06-12,0.1666,0.19994361909293765,因子数值不匹配
002007.SZ,2007-10-24,0.1697,0.2044511312841118,因子数值不匹配
002007.SZ,2009-05-06,0.3778,0.6071559717582192,因子数值不匹配
002007.SZ,2010-05-27,0.3776,0.6066576992304583,因子数值不匹配
002007.SZ,2016-06-07,0.38,0.612975549510859,因子数值不匹配
002007.SZ,2019-06-17,0.3397,0.5144926939979072,因子数值不匹配
002007.SZ,2020-04-27,0.2371,0.3107208919004948,因子数值不匹配
002008.SZ,2005-06-01,0.3435,0.5232159999999999,因子数值不匹配
002008.SZ,2006-05-25,0.3425,0.520798757365994,因子数值不匹配
002008.SZ,2007-05-14,0.3354,0.504747885284081,因子数值不匹配
002008.SZ,2008-04-25,0.3781,0.6078885039572479,因子数值不匹配
002008.SZ,2011-06-15,0.3421,0.520098530191854,因子数值不匹配
002009.SZ,2006-06-23,0.3753,0.6007028259212,因子数值不匹配
002009.SZ,2007-06-08,0.1674,0.201030921473993,因子数值不匹配
002009.SZ,2008-03-21,0.5001,1.0005671735951922,因子数值不匹配
002010.SZ,2005-09-28,0.3336,0.5006635813137836,因子数值不匹配
002010.SZ,2007-06-06,0.2328,0.30347588777752665,因子数值不匹配
002010.SZ,2008-06-06,0.2309,0.3001987317800478,因子数值不匹配
002010.SZ,2011-05-19,0.5007,1.0030007967014396,因子数值不匹配
002011.SZ,2008-06-10,0.5057,1.0229014990880918,因子数值不匹配
002011.SZ,2011-05-19,0.5052,1.020819038278702,因子数值不匹配
002012.SZ,2005-06-09,0.4584,0.846273,因子数值不匹配
002012.SZ,2012-10-23,0.5,0.9999994769434036,因子数值不匹配
002014.SZ,2007-04-04,0.1152,0.13023948405615557,因子数值不匹配
002014.SZ,2007-08-30,0.1667,0.19999983844467473,因子数值不匹配
002014.SZ,2011-03-17,0.2435,0.32190290481606004,因子数值不匹配
002014.SZ,2012-08-23,0.3333,0.5000000000000002,因子数值不匹配
002014.SZ,2018-04-18,0.3586,0.55909691727278,因子数值不匹配
002014.SZ,2022-04-14,0.2119,0.26884773766289843,因子数值不匹配
002015.SZ,2006-07-04,0.5031,1.0124989617981264,因子数值不匹配
002015.SZ,2008-05-27,0.4142,0.707152855329918,因子数值不匹配
002015.SZ,2015-06-26,0.1451,0.1696800199749577,因子数值不匹配
002016.SZ,2005-10-28,0.1302,0.14968592002451356,因子数值不匹配
002016.SZ,2008-09-02,0.5,0.9999991793228756,因子数值不匹配
002016.SZ,2009-05-14,0.1669,0.2002670183400727,因子数值不匹配
002016.SZ,2013-05-10,0.2955,0.41939557685281936,因子数值不匹配
