ts_code,trade_date,diff_pct,t_pre_close,t_1_close,factor_now,factor_prev,reason
002001.SZ,2014-05-16,0.3503,12.9100,19.8700,10.841701,7.044104,因子未变动
002001.SZ,2018-05-30,0.4232,20.8400,36.1300,19.861936,11.456483,因子未变动
002001.SZ,2021-05-19,0.1812,32.8600,40.1300,25.573289,20.940400,因子未变动
002001.SZ,2022-05-25,0.1887,20.5100,25.2800,31.520853,25.573289,因子未变动
002003.SZ,2007-06-21,0.1744,26.4200,32.0000,1.286710,1.062340,因子未变动
002003.SZ,2007-09-25,0.2307,23.2800,30.2600,1.672501,1.286710,因子未变动
002003.SZ,2008-06-13,0.2348,14.8300,19.3800,2.185642,1.672501,因子未变动
002003.SZ,2011-02-25,0.1450,23.0000,26.9000,2.729207,2.333523,因子未变动
002003.SZ,2014-05-07,0.2815,8.6800,12.0800,4.319116,3.103471,因子未变动
002003.SZ,2015-05-15,0.1990,12.3600,15.4300,5.391906,4.319116,因子未变动
002003.SZ,2017-05-25,0.2579,10.5900,14.2700,7.541628,5.596766,因子未变动
002003.SZ,2018-06-08,0.2615,9.1800,12.4300,10.211595,7.541628,因子未变动
